Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location
0.26,17,6,4128,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,No
0.28,3,3,61,Brass,6.83,15,No,No,No,Roadways,No,Working Class,No
0.07,8,5,237,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes
0.12,9,,,Aluminium,5.81,16.31,No,No,No,,No,Wealthy,Yes
0.15,17,6,324,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No
0.99,46,19,1178,Wood,6.16,16.88,No,Yes,No,,No,Wealthy,No
0.64,17,9,7264,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No
0.74,23,10,3287,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No
0,6,4,108,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes
0.12,23,9,195226,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,No
0.14,47,25,40834,Bronze,37.22,85.09,No,No,Yes,,No,Working Class,No
0.29,32,9,,Stone,1800.96,56.04,No,No,Yes,Airways,No,Working Class,No
0.26,13,6,1534,Bronze,5.87,20.72,No,Yes,No,Airways,No,Working Class,No
0.54,26,9,,Wood,6.47,17.55,No,Yes,Yes,,No,Working Class,No
0.69,21,6,3954,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,No
0.72,44,12,4991242,Stone,29625.6,84.38,No,No,Yes,Roadways,No,Working Class,Yes
0.27,10,4,11909,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,No
0.1,37,9,239463,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,No
0.11,19,14,7976,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,No
0.54,,,65103,Stone,165.05,86.65,No,No,Yes,Roadways,No,Wealthy,No
0.59,20,9,198,,5.56,15.76,No,Yes,No,,No,Wealthy,No
0.11,,9,216919,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,No
0.66,9,5,184,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,No
0.57,29,9,745770,Stone,3403.92,30.87,Yes,Yes,Yes,Airways,No,Working Class,No
0.43,24,8,261562,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,No
,10,4,174,,6.63,19.61,Yes,No,No,Waterways,No,Working Class,No
0.2,25,9,7901,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,Yes
0.47,28,15,985,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,No
0.51,16,8,63720,,151.19,59.22,No,No,Yes,,No,Wealthy,Yes
0.67,17,6,182,Wood,6,11.04,No,No,No,,No,Wealthy,No
0.56,20,8,53954,Marble,162.93,99.06,No,Yes,No,Airways,No,Working Class,No
0.25,10,4,4900,Marble,25.83,18.35,Yes,Yes,Yes,Airways,No,Wealthy,No
0.31,13,7,449,Aluminium,4.91,24.67,No,No,Yes,Airways,No,Working Class,No
0.57,6,4,79,,4.71,22.24,No,No,No,,Yes,Wealthy,
0.01,,5,88,,6.51,22.49,Yes,No,No,Waterways,No,Working Class,No
0.68,8,5,301,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,No
0.23,16,8,358,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,Yes
0.52,36,17,593,Wood,3.86,17,No,No,Yes,Roadways,No,Working Class,No
0.59,22,15,16046,Brass,99.52,89.55,Yes,No,Yes,Waterways,No,Working Class,No
0.01,16,7,1002,Clay,4.15,22.03,No,No,No,,Yes,Working Class,
0.93,29,8,7757,Bronze,24.29,78.75,Yes,No,No,Airways,No,Working Class,No
0.58,,5,71,Aluminium,4.28,19.83,No,No,No,,No,Working Class,Yes
0.86,49,17,196893,Brass,116.3,81.85,Yes,No,Yes,Waterways,No,Working Class,No
0.27,6,5,355,,3.14,15.04,No,No,Yes,Roadways,No,Wealthy,
0.17,20,7,3669,Bronze,5.13,11.07,No,No,No,,No,Working Class,Yes
0.54,36,,61696,Brass,61.6,48.17,No,No,Yes,,No,Working Class,No
0.07,9,4,74,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,Yes
0.51,8,4,215,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,No
0.59,16,8,4679,,10.08,19.77,Yes,No,No,Airways,No,Working Class,
0.29,24,12,2443,Clay,5.18,15.8,No,No,Yes,Airways,Yes,Wealthy,No
0.17,47,23,5624,Aluminium,19.82,63.79,No,No,No,Roadways,No,Working Class,No
0.6,,,160742,Marble,554.72,92.44,No,No,Yes,,No,Working Class,
0.98,15,7,3872,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,Yes
0.3,22,9,345055,Stone,365.28,54.25,Yes,No,No,Waterways,No,Working Class,No
0.25,15,6,553,Clay,3.03,18.09,Yes,No,No,Waterways,Yes,Wealthy,No
,39,7,1073,Aluminium,3.6,23.31,No,No,Yes,,No,Working Class,Yes
0.31,7,5,415,Bronze,5.75,22,No,No,Yes,Airways,No,Working Class,No
0.12,26,,583,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,No
0.61,31,,507253,Stone,1377.26,45.19,Yes,Yes,Yes,,No,Wealthy,No
,43,13,1954301,Stone,839.18,92.25,No,Yes,No,Airways,No,Wealthy,
,18,8,5263,Brass,7.86,55.05,No,No,Yes,,No,Working Class,
0.49,7,5,4736,Stone,18.4,23.76,No,Yes,No,Airways,No,Working Class,Yes
0.68,39,15,3996,Aluminium,11.76,22.39,No,Yes,Yes,,No,Working Class,No
0.18,15,7,16227,Marble,46.61,54.29,Yes,Yes,Yes,Airways,No,Wealthy,Yes
0.38,44,21,2663,Aluminium,4.43,15.69,No,No,No,,No,Working Class,Yes
0.67,34,13,3151086,Stone,10624.83,44.95,Yes,No,Yes,Waterways,No,Working Class,No
0.68,15,8,143739,Stone,409.34,72.82,No,No,No,Roadways,No,Working Class,No
0.04,35,17,557,,5.58,18.45,Yes,No,No,Waterways,No,Working Class,
0.81,,3,495,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,Yes
0.65,32,11,2135,Aluminium,9.97,14.81,No,Yes,Yes,Airways,No,Working Class,No
0.84,18,8,10381,Brass,26.1,45.79,Yes,Yes,No,Airways,No,Working Class,No
0.69,26,12,524871,Marble,1566.67,59.65,No,No,No,Airways,No,Working Class,No
0.36,25,24,14074,Clay,34.08,95.89,No,No,Yes,Airways,Yes,Working Class,No
0.22,8,4,788,Brass,4.22,24.47,No,No,No,Roadways,No,Working Class,No
0.11,17,7,133437,Stone,210.57,94.13,No,No,Yes,Roadways,No,Working Class,No
,25,11,1849,,3.13,15.48,No,Yes,Yes,Airways,No,Wealthy,
0.58,10,4,496,Bronze,3.06,18.67,No,No,No,Roadways,No,Working Class,No
0.17,18,6,,Clay,4.71,17.09,No,No,No,Roadways,Yes,Working Class,No
0.45,9,5,1247,Brass,6.02,13.52,No,No,Yes,Roadways,No,Working Class,No
0.4,14,8,,Clay,3.79,10.26,No,Yes,Yes,,Yes,Wealthy,No
0.97,30,15,575,Wood,4.58,13.39,No,No,No,Roadways,No,Working Class,No
0.87,19,11,250244,Marble,1383.56,95.79,No,No,No,Roadways,No,Working Class,No
0.93,30,10,1016,,9.89,13.29,Yes,No,No,Waterways,No,Working Class,No
0.38,12,8,2112,Bronze,4.16,17.29,Yes,No,No,Airways,No,Working Class,Yes
0.5,16,6,1171,Brass,3.34,18.85,No,No,No,Airways,No,Working Class,Yes
0.18,15,6,477,Clay,6.35,15.4,Yes,No,No,Airways,Yes,Working Class,Yes
0.38,56,17,50809,Bronze,47.18,67.44,No,No,Yes,Waterways,No,Working Class,No
0.88,25,17,768813,Marble,3929.77,55.12,No,No,Yes,Roadways,No,Working Class,Yes
0.22,23,13,345,Wood,6.23,22.3,No,Yes,Yes,Airways,No,Wealthy,No
0.43,,14,2851,Aluminium,6.55,22.15,No,Yes,No,,No,Wealthy,Yes
0.49,16,,944,Clay,5.49,16.52,No,No,No,Roadways,Yes,Working Class,No
0.88,24,15,799475,Marble,2896.76,54.34,Yes,Yes,No,Airways,No,Working Class,No
0.64,10,4,,Marble,31.69,91.98,Yes,No,Yes,Waterways,No,Working Class,No
0.03,41,9,494,Wood,5.58,18.88,No,Yes,Yes,Airways,No,Wealthy,No
0.28,37,20,9467,Clay,20.41,27.4,No,Yes,No,,Yes,Working Class,No
,35,13,,Brass,88.84,34.46,No,No,No,,No,Working Class,No
0.86,14,7,3694,Brass,8.3,17.02,No,Yes,Yes,,No,Working Class,Yes
0.99,8,,149,Aluminium,6.92,21.85,No,No,No,Waterways,No,Working Class,No
0.27,37,16,7365,Clay,28.53,29.16,Yes,No,Yes,Waterways,Yes,Working Class,No
0.42,24,17,4848,Clay,32.42,23.52,Yes,No,Yes,Airways,Yes,Wealthy,No
0.3,23,10,1153,Aluminium,3.71,20.65,No,No,No,Roadways,No,Working Class,No
0.99,30,7,1104,Aluminium,5.91,14.04,Yes,No,Yes,Waterways,No,Working Class,No
0.34,23,12,450,Wood,4.95,24.48,No,No,No,Roadways,No,Working Class,No
,13,7,51068,Stone,153.97,71.73,No,Yes,No,,No,Wealthy,No
